Tm_C,GC_percent
86.428,53.42
86.358,53.52
87.246,54.94
86.573,53.93
86.786,55.70
86.521,55.16
83.748,47.92
82.456,46.41
84.838,50.37
84.249,48.82
83.417,46.97
82.680,47.34
81.256,42.56
85.515,50.90
83.599,48.15
84.056,47.70
83.265,46.58
85.627,52.37
85.422,51.68
85.442,51.74
82.236,47.27
85.626,51.68
81.690,42.26
82.644,48.82
86.399,54.72
83.246,48.87
82.707,46.48
84.272,49.46
84.119,49.45
83.299,46.33
82.442,49.40
84.944,49.56
79.108,43.23
76.514,37.04
76.909,36.32
79.525,39.71
81.663,48.40
81.373,45.67
81.736,45.10
83.159,51.75
83.286,47.83
84.889,50.34
86.567,56.74
84.874,51.55
80.439,47.88
81.999,43.87
82.520,50.70
79.447,41.86
84.818,54.48
86.576,54.44
83.525,50.00
82.546,46.14
82.198,50.51
86.176,53.45
87.225,55.34
83.983,54.17
82.552,47.83
86.363,55.43
82.705,46.32
80.111,48.30
86.323,55.77
85.518,59.14
79.922,43.86
86.356,56.83
86.166,54.79
88.201,57.82
89.156,60.01
85.314,57.21
87.776,56.43
85.906,56.27
87.273,59.26
87.330,58.39
87.425,59.71
85.745,53.14
86.607,57.33
85.310,57.62
88.208,57.38
86.423,57.31
86.480,56.39
88.254,57.43
86.120,54.50
88.818,59.59
83.356,51.11
81.613,42.01
79.715,37.94
78.893,37.02
83.260,51.16
88.438,58.48
86.995,58.62
84.328,51.71
77.176,35.84
77.322,41.50
80.752,41.20
79.853,39.26
80.227,40.63
81.229,43.11
81.878,50.56
86.418,54.52
86.689,54.52
86.065,52.83
87.289,55.64
86.949,54.83
68.122,44.44
86.448,54.42
83.950,49.11
83.706,46.91
86.341,54.18
84.709,51.10
85.240,51.78
84.952,50.48
81.420,46.83
85.961,52.00
83.972,48.21
80.009,49.61
79.918,46.43
86.297,52.80
84.293,50.08
84.652,50.33
82.884,49.19
85.629,51.97
86.044,53.63
82.897,48.93
83.722,53.42
84.227,49.33
80.343,47.13
84.399,48.39
86.185,52.76
85.201,50.98
85.870,53.23
83.450,48.15
85.273,51.16
85.806,51.52
86.610,54.15
84.397,48.97
85.148,51.43
84.823,50.25
87.610,57.24
85.211,51.24
